,TILGANG1,ANVENDELSE,PRISENHED,TID,INDHOLD
44,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Current prices,2010,4157904.201
45,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Current prices,2011,4386061.172
46,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Current prices,2012,4545605.876
47,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Current prices,2013,4575175.988
48,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Current prices,2014,4658067.943
49,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Current prices,2015,4809432.92
50,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Current prices,2016,4910063.688
51,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Current prices,2017,5157887.283
52,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Current prices,2018,5391322.596
53,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Current prices,2019,5557131.205
54,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Current prices,2020,5489508.928
55,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Current prices,2021,6134894.47
56,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Constant prices of the previous year,1966,0.0
57,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Constant prices of the previous year,1967,185679.585
58,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Constant prices of the previous year,1968,199908.1
59,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Constant prices of the previous year,1969,224496.252
60,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Constant prices of the previous year,1970,248142.635
61,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Constant prices of the previous year,1971,273445.015
62,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Constant prices of the previous year,1972,302013.79
63,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Constant prices of the previous year,1973,345842.771
64,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Constant prices of the previous year,1974,380617.434
65,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Constant prices of the previous year,1975,441486.854
66,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Constant prices of the previous year,1976,527851.32
67,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Constant prices of the previous year,1977,583375.741
68,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Constant prices of the previous year,1978,646738.366
69,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Constant prices of the previous year,1979,722159.559
70,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Constant prices of the previous year,1980,770726.958
71,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Constant prices of the previous year,1981,854077.574
72,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Constant prices of the previous year,1982,986291.818
73,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Constant prices of the previous year,1983,1112671.434
74,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Constant prices of the previous year,1984,1246545.839
75,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Constant prices of the previous year,1985,1396762.173
76,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Constant prices of the previous year,1986,1547513.713
77,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Constant prices of the previous year,1987,1520729.239
78,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Constant prices of the previous year,1988,1562719.038
79,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Constant prices of the previous year,1989,1626649.389
80,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Constant prices of the previous year,1990,1749271.477
81,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Constant prices of the previous year,1991,1802364.665
82,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Constant prices of the previous year,1992,1867857.366
83,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Constant prices of the previous year,1993,1897583.055
84,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Constant prices of the previous year,1994,2011013.556
85,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Constant prices of the previous year,1995,2120565.716
86,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Constant prices of the previous year,1996,2222364.97
87,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Constant prices of the previous year,1997,2347170.603
88,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Constant prices of the previous year,1998,2491032.782
89,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Constant prices of the previous year,1999,2586428.317
90,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Constant prices of the previous year,2000,2764885.242
91,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Constant prices of the previous year,2001,2962409.707
92,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Constant prices of the previous year,2002,3096918.819
93,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Constant prices of the previous year,2003,3113664.42
94,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Constant prices of the previous year,2004,3232224.698
95,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Constant prices of the previous year,2005,3495233.891
96,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Constant prices of the previous year,2006,3853647.96
97,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Constant prices of the previous year,2007,4100270.698
98,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Constant prices of the previous year,2008,4259752.231
99,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Constant prices of the previous year,2009,4088845.763
100,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Constant prices of the previous year,2010,3988692.112
101,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Constant prices of the previous year,2011,4294699.808
102,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Constant prices of the previous year,2012,4438219.944
103,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Constant prices of the previous year,2013,4554953.219
104,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Constant prices of the previous year,2014,4677434.132
105,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Constant prices of the previous year,2015,4806383.021
106,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Constant prices of the previous year,2016,4984530.214
107,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Constant prices of the previous year,2017,5051432.814
108,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Constant prices of the previous year,2018,5295636.533
109,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Constant prices of the previous year,2019,5477478.705
110,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Constant prices of the previous year,2020,5453805.835
111,"Intermediate consumption / final demand, purchasers prices",Total Use-(Use),Constant prices of the previous year,2021,5832403.849
112,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Current prices,1966,71027.102
113,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Current prices,1967,75042.627
114,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Current prices,1968,79094.763
115,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Current prices,1969,89240.509
116,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Current prices,1970,101343.147
117,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Current prices,1971,108064.711
118,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Current prices,1972,120415.27
119,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Current prices,1973,144948.985
120,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Current prices,1974,174375.501
121,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Current prices,1975,183055.58
122,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Current prices,1976,215408.821
123,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Current prices,1977,236895.855
124,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Current prices,1978,259519.521
125,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Current prices,1979,293616.999
126,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Current prices,1980,331227.178
127,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Current prices,1981,370613.038
128,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Current prices,1982,413162.007
129,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Current prices,1983,443979.739
130,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Current prices,1984,496905.329
131,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Current prices,1985,545742.768
132,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Current prices,1986,568036.16
133,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Current prices,1987,577578.275
134,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Current prices,1988,597814.692
135,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Current prices,1989,638196.915
136,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Current prices,1990,657287.628
137,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Current prices,1991,671342.399
138,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Current prices,1992,685309.655
139,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Current prices,1993,691931.585
140,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Current prices,1994,741373.593
141,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Current prices,1995,787943.268
142,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Current prices,1996,824453.059
143,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Current prices,1997,872476.579
144,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Current prices,1998,904212.357
145,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Current prices,1999,955059.965
146,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Current prices,2000,1062948.327
147,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Current prices,2001,1138073.098
148,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Current prices,2002,1154727.734
149,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Current prices,2003,1154125.906
150,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Current prices,2004,1204000.492
151,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Current prices,2005,1348937.262
152,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Current prices,2006,1495800.75
153,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Current prices,2007,1618064.36
154,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Current prices,2008,1717999.544
155,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Current prices,2009,1517467.266
156,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Current prices,2010,1557830.636
157,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Current prices,2011,1663325.126
158,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Current prices,2012,1729434.083
159,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Current prices,2013,1714983.264
160,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Current prices,2014,1732862.496
161,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Current prices,2015,1782795.738
162,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Current prices,2016,1817005.985
163,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Current prices,2017,1914455.239
164,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Current prices,2018,2001992.584
165,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Current prices,2019,2054240.114
166,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Current prices,2020,2036568.3
167,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Current prices,2021,2315479.766
168,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Constant prices of the previous year,1966,0.0
169,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Constant prices of the previous year,1967,72592.028
170,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Constant prices of the previous year,1968,76179.464
171,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Constant prices of the previous year,1969,84210.116
172,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Constant prices of the previous year,1970,94361.426
173,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Constant prices of the previous year,1971,102573.326
174,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Constant prices of the previous year,1972,113346.498
175,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Constant prices of the previous year,1973,126788.731
176,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Constant prices of the previous year,1974,142395.894
177,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Constant prices of the previous year,1975,169029.725
178,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Constant prices of the previous year,1976,199121.2
179,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Constant prices of the previous year,1977,219814.67
180,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Constant prices of the previous year,1978,244881.596
181,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Constant prices of the previous year,1979,271180.974
182,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Constant prices of the previous year,1980,291793.431
183,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Constant prices of the previous year,1981,323048.402
184,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Constant prices of the previous year,1982,371663.555
185,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Constant prices of the previous year,1983,416742.198
186,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Constant prices of the previous year,1984,471855.294
187,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Constant prices of the previous year,1985,527189.829
188,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Constant prices of the previous year,1986,594182.85
189,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Constant prices of the previous year,1987,577403.905
190,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Constant prices of the previous year,1988,583117.828
191,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Constant prices of the previous year,1989,596693.792
192,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Constant prices of the previous year,1990,649368.728
193,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Constant prices of the previous year,1991,660151.752
194,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Constant prices of the previous year,1992,680041.901
195,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Constant prices of the previous year,1993,701051.516
196,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Constant prices of the previous year,1994,727593.105
197,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Constant prices of the previous year,1995,768483.822
198,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Constant prices of the previous year,1996,814259.866
199,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Constant prices of the previous year,1997,849913.237
200,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Constant prices of the previous year,1998,907003.666
201,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Constant prices of the previous year,1999,950003.881
202,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Constant prices of the previous year,2000,1005593.505
203,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Constant prices of the previous year,2001,1105841.62
204,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Constant prices of the previous year,2002,1157948.575
205,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Constant prices of the previous year,2003,1155025.295
206,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Constant prices of the previous year,2004,1186334.521
207,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Constant prices of the previous year,2005,1311828.941
208,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Constant prices of the previous year,2006,1447413.814
209,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Constant prices of the previous year,2007,1572362.473
210,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Constant prices of the previous year,2008,1644686.628
211,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Constant prices of the previous year,2009,1572261.244
212,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Constant prices of the previous year,2010,1496227.756
213,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Constant prices of the previous year,2011,1611677.076
214,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Constant prices of the previous year,2012,1687573.564
215,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Constant prices of the previous year,2013,1707547.291
216,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Constant prices of the previous year,2014,1749732.832
217,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Constant prices of the previous year,2015,1791711.469
218,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Constant prices of the previous year,2016,1855527.306
219,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Constant prices of the previous year,2017,1857683.689
220,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Constant prices of the previous year,2018,1955079.59
221,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Constant prices of the previous year,2019,2020293.932
222,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Constant prices of the previous year,2020,2039346.543
223,"Intermediate consumption / final demand, purchasers prices",Total Intermedialte Consumption-(Use),Constant prices of the previous year,2021,2176594.48
224,"Intermediate consumption / final demand, purchasers prices","A Agriculture, forestry and fishing- (Use)",Current prices,1966,7089.467
225,"Intermediate consumption / final demand, purchasers prices","A Agriculture, forestry and fishing- (Use)",Current prices,1967,7153.391
226,"Intermediate consumption / final demand, purchasers prices","A Agriculture, forestry and fishing- (Use)",Current prices,1968,7054.832
227,"Intermediate consumption / final demand, purchasers prices","A Agriculture, forestry and fishing- (Use)",Current prices,1969,7050.35
228,"Intermediate consumption / final demand, purchasers prices","A Agriculture, forestry and fishing- (Use)",Current prices,1970,7973.254
229,"Intermediate consumption / final demand, purchasers prices","A Agriculture, forestry and fishing- (Use)",Current prices,1971,8348.717
230,"Intermediate consumption / final demand, purchasers prices","A Agriculture, forestry and fishing- (Use)",Current prices,1972,9104.802
231,"Intermediate consumption / final demand, purchasers prices","A Agriculture, forestry and fishing- (Use)",Current prices,1973,12037.639
232,"Intermediate consumption / final demand, purchasers prices","A Agriculture, forestry and fishing- (Use)",Current prices,1974,13231.886
233,"Intermediate consumption / final demand, purchasers prices","A Agriculture, forestry and fishing- (Use)",Current prices,1975,14336.087
234,"Intermediate consumption / final demand, purchasers prices","A Agriculture, forestry and fishing- (Use)",Current prices,1976,17143.91
235,"Intermediate consumption / final demand, purchasers prices","A Agriculture, forestry and fishing- (Use)",Current prices,1977,18512.445
236,"Intermediate consumption / final demand, purchasers prices","A Agriculture, forestry and fishing- (Use)",Current prices,1978,20175.308
237,"Intermediate consumption / final demand, purchasers prices","A Agriculture, forestry and fishing- (Use)",Current prices,1979,22856.298
238,"Intermediate consumption / final demand, purchasers prices","A Agriculture, forestry and fishing- (Use)",Current prices,1980,25699.417
239,"Intermediate consumption / final demand, purchasers prices","A Agriculture, forestry and fishing- (Use)",Current prices,1981,29045.81
240,"Intermediate consumption / final demand, purchasers prices","A Agriculture, forestry and fishing- (Use)",Current prices,1982,33137.956
241,"Intermediate consumption / final demand, purchasers prices","A Agriculture, forestry and fishing- (Use)",Current prices,1983,35100.434
242,"Intermediate consumption / final demand, purchasers prices","A Agriculture, forestry and fishing- (Use)",Current prices,1984,36556.55
243,"Intermediate consumption / final demand, purchasers prices","A Agriculture, forestry and fishing- (Use)",Current prices,1985,36644.081
244,"Intermediate consumption / final demand, purchasers prices","A Agriculture, forestry and fishing- (Use)",Current prices,1986,35463.845
245,"Intermediate consumption / final demand, purchasers prices","A Agriculture, forestry and fishing- (Use)",Current prices,1987,35493.685
246,"Intermediate consumption / final demand, purchasers prices","A Agriculture, forestry and fishing- (Use)",Current prices,1988,34399.566
247,"Intermediate consumption / final demand, purchasers prices","A Agriculture, forestry and fishing- (Use)",Current prices,1989,35794.802
248,"Intermediate consumption / final demand, purchasers prices","A Agriculture, forestry and fishing- (Use)",Current prices,1990,35634.422
249,"Intermediate consumption / final demand, purchasers prices","A Agriculture, forestry and fishing- (Use)",Current prices,1991,34834.372
250,"Intermediate consumption / final demand, purchasers prices","A Agriculture, forestry and fishing- (Use)",Current prices,1992,36161.065
251,"Intermediate consumption / final demand, purchasers prices","A Agriculture, forestry and fishing- (Use)",Current prices,1993,36810.0
252,"Intermediate consumption / final demand, purchasers prices","A Agriculture, forestry and fishing- (Use)",Current prices,1994,35917.333
253,"Intermediate consumption / final demand, purchasers prices","A Agriculture, forestry and fishing- (Use)",Current prices,1995,35419.593
254,"Intermediate consumption / final demand, purchasers prices","A Agriculture, forestry and fishing- (Use)",Current prices,1996,35706.601
255,"Intermediate consumption / final demand, purchasers prices","A Agriculture, forestry and fishing- (Use)",Current prices,1997,37669.906
256,"Intermediate consumption / final demand, purchasers prices","A Agriculture, forestry and fishing- (Use)",Current prices,1998,36451.774
257,"Intermediate consumption / final demand, purchasers prices","A Agriculture, forestry and fishing- (Use)",Current prices,1999,36654.072
258,"Intermediate consumption / final demand, purchasers prices","A Agriculture, forestry and fishing- (Use)",Current prices,2000,38661.734
259,"Intermediate consumption / final demand, purchasers prices","A Agriculture, forestry and fishing- (Use)",Current prices,2001,38517.492
260,"Intermediate consumption / final demand, purchasers prices","A Agriculture, forestry and fishing- (Use)",Current prices,2002,40750.42
261,"Intermediate consumption / final demand, purchasers prices","A Agriculture, forestry and fishing- (Use)",Current prices,2003,39925.822
